Close/Last,Volume,Open,High,Low
$162.36 ,49501690,$161.53 ,$162.47 ,$161.27 
$160.77 ,51305690,$159.37 ,$161.05 ,$159.35 
$157.65 ,45992150,$157.97 ,$158.49 ,$155.98 
$158.28 ,52390270,$159.94 ,$160.77 ,$157.87 
$160.25 ,59256340,$158.86 ,$160.34 ,$157.85 
$158.93 ,67622060,$158.83 ,$161.55 ,$157.68 
$157.83 ,75701810,$159.30 ,$162.14 ,$157.81 
$159.28 ,73938290,$157.32 ,$159.40 ,$156.54 
$157.40 ,73641420,$155.07 ,$157.82 ,$154.15 
$155.00 ,98944630,$156.08 ,$156.74 ,$154.28 
$155.85 ,76254420,$152.16 ,$156.46 ,$151.64 
$152.99 ,77167870,$151.19 ,$153.25 ,$149.92 
$152.59 ,73695890,$151.28 ,$153.40 ,$150.10 
$150.47 ,84457120,$147.81 ,$153.14 ,$147.70 
$148.50 ,68572400,$150.21 ,$150.94 ,$147.61 
$150.59 ,53833580,$153.56 ,$154.54 ,$150.23 
$152.87 ,47204790,$152.81 ,$153.47 ,$151.83 
$151.60 ,56182030,$153.70 ,$154.03 ,$151.13 
$153.83 ,87558030,$153.79 ,$156.30 ,$153.46 
$151.03 ,70732300,$148.05 ,$151.11 ,$147.33 
$145.91 ,52279760,$144.38 ,$146.71 ,$143.90 
$145.31 ,55478990,$146.83 ,$147.23 ,$145.01 
$147.41 ,50547000,$147.05 ,$149.08 ,$146.83 
$147.92 ,44998470,$147.71 ,$149.17 ,$147.45 
$146.71 ,55469610,$147.11 ,$147.19 ,$145.72 
$149.40 ,48394250,$150.09 ,$150.34 ,$147.24 
$148.91 ,51011310,$148.87 ,$149.95 ,$147.16 
$148.48 ,58867230,$150.20 ,$151.30 ,$148.41 
$152.55 ,59144120,$152.35 ,$153.00 ,$150.85 
$153.71 ,68167940,$153.51 ,$156.33 ,$153.35 
$155.33 ,65669250,$153.11 ,$155.50 ,$152.88 
$153.20 ,61707570,$152.12 ,$153.77 ,$150.86 
$153.85 ,62199010,$150.95 ,$154.26 ,$150.92 
$151.01 ,57450710,$149.46 ,$151.34 ,$149.22 
$150.87 ,56007140,$153.78 ,$154.33 ,$150.42 
$151.92 ,64120080,$153.88 ,$154.58 ,$151.17 
$154.65 ,83322550,$150.64 ,$155.23 ,$150.64 
$151.73 ,69858310,$152.58 ,$153.10 ,$150.78 
$154.50 ,154357300,$148.03 ,$157.38 ,$147.83 
$150.82 ,118339000,$148.90 ,$151.18 ,$148.17 
$145.43 ,77663630,$143.97 ,$146.61 ,$141.32 
$144.29 ,65874460,$142.70 ,$144.34 ,$142.28 
$143.00 ,64015270,$144.96 ,$145.55 ,$142.85 
$145.93 ,70555840,$143.16 ,$147.23 ,$143.08 
$143.96 ,54105070,$143.17 ,$144.25 ,$141.90 
$141.86 ,65799350,$140.89 ,$142.43 ,$138.81 
$142.53 ,66435140,$140.31 ,$143.16 ,$140.30 
$141.11 ,81760310,$138.12 ,$143.32 ,$137.90 
$137.87 ,80223630,$135.28 ,$138.02 ,$134.22 
